temperature,light,feeding,treatment,rack,genotype,rep,ID,surface.area..cm2,displacement..ml,blastate..ml,cells.ml,chla..ug.ml,chlc2..ug.ml,afdw..g
High,High,Fed,HT.HL.HF,A,A,21,A21,15.3699115,11,37.5,481250,4.031,0.752,0.0107
High,High,Fed,HT.HL.HF,A,A,48,A48,17.2868755,12,27.5,1036666.667,6.146705833,1.3997775,0.0113
High,High,Fed,HT.HL.HF,A,B,98,B98,25.1068715,14,30,660833,3.302,0.571,0.0099
High,High,Fed,HT.HL.HF,A,B,100,B100,27.286277,14,35,728000,3.23548,0.6999325,0.0096
High,High,Fed,HT.HL.HF,A,C,13,C13,18.325231,10,22.5,219250,0.854,0.204,0.0092
High,High,Fed,HT.HL.HF,A,C,14,C14,18.3062135,10,17.5,233000,1.3,0.306,0.0081
High,High,Fed,HT.HL.HF,A,D,10,D10,21.383245,11,15,79722.22222,0.147,0.054,0.0087
High,High,Fed,HT.HL.HF,A,D,64,D64,31.4511095,15,17.5,103055.5556,0.207,0.064,0.01
High,High,Fed,HT.HL.HF,A,E,59,E59,38.7994715,15,40,1913750,4.675,0.697,0.0125
High,High,Fed,HT.HL.HF,A,E,69,E69,18.644725,10,30,1020000,3.287,0.574,0.0105
High,High,Fed,HT.HL.HF,A,F,18,F18,43.8961615,18,40,2235000,3.969,0.709,0.0132
High,High,Fed,HT.HL.HF,A,F,71,F71,12.1065085,7,20,1400000,2.637,0.581,0.0106
Ambient,High,Fed,AT.HL.HF,E,A,13,A13,18.3898905,10,20,1981666.667,8.750150833,1.72237,0.0119
Ambient,High,Fed,AT.HL.HF,E,A,18,A18,18.0703965,10,27.5,655000,7.311,1.557,0.0126
Ambient,High,Fed,AT.HL.HF,E,B,2,B2,26.1566375,13,25,1301666.667,7.176,1.122,0.0121
Ambient,High,Fed,AT.HL.HF,E,B,X2,BX2,9.851033,6,20,930833.3333,4.075075833,0.894845,0.0115
Ambient,High,Fed,AT.HL.HF,E,C,15,C15,32.2726655,16,25,2827500,10.63077,2.18938,0.014
Ambient,High,Fed,AT.HL.HF,E,C,X12,CX12,4.784771,6,12.5,642500,2.493,0.606,0.0114
Ambient,High,Fed,AT.HL.HF,E,D,11,D11,19.785775,11,17.5,1527500,6.5732875,0.8699625,0.0124
Ambient,High,Fed,AT.HL.HF,E,D,X12,DX12,25.057426,11,25,2623750,7.1279175,0.9223575,0.0118
Ambient,High,Fed,AT.HL.HF,E,E,9,E9,38.544637,16,22.5,4845000,10.245,1.891,0.014
Ambient,High,Fed,AT.HL.HF,E,E,71,E71,10.931227,7,15,1018333.333,5.064091667,0.847375,0.0098
Ambient,High,Fed,AT.HL.HF,E,F,25,F25,21.444101,11,20,2812500,7.502121667,1.2090575,0.0109
Ambient,High,Fed,AT.HL.HF,E,F,70,F70,10.931227,10,20,3010000,9.004871667,1.46447,0.0118
Ambient,High,Unfed,AT.HL.LF,F,A,8,A8,28.4007025,16,25,2395000,12.22665,1.8640375,0.0142
Ambient,High,Unfed,AT.HL.LF,F,A,41,A41,18.492585,10,32.5,1520000,6.398051667,1.364765,0.0101
Ambient,High,Unfed,AT.HL.LF,F,B,44,B44,23.0605885,11,30,1460000,6.154698333,1.101485,0.0103
Ambient,High,Unfed,AT.HL.LF,F,B,X8,BX8,23.733808,11,30,1493333.333,4.989019167,0.783835,0.0124
Ambient,High,Unfed,AT.HL.LF,F,C,53,C53,6.473525,7,27.5,317222.2222,1.6047975,0.3776025,0.0079
Ambient,High,Unfed,AT.HL.LF,F,C,69,C69,9.8548365,8,32.5,588750,3.352195833,0.76145,0.0103
Ambient,High,Unfed,AT.HL.LF,F,D,72,D72,9.5733775,8,22.5,1316250,3.424,0.434,0.0108
Ambient,High,Unfed,AT.HL.LF,F,D,X2,DX2,13.6203015,8,30,970000,4.28,0.6639625,0.0102
Ambient,High,Unfed,AT.HL.LF,F,E,10,E10,25.2590115,12,30,2068333.333,6.228,1.033,0.0119
Ambient,High,Unfed,AT.HL.LF,F,E,14,E14,32.481858,18,42.5,2727500,6.75027,0.9414675,0.0121
Ambient,High,Unfed,AT.HL.LF,F,F,19,F19,37.175377,15,40,1910000,7.377,1.316,0.0119
Ambient,High,Unfed,AT.HL.LF,F,F,55,F55,23.049178,12,25,2316666.667,6.968348333,1.39426,0.0103
Ambient,Low,Fed,AT.LL.HF,G,A,12,A12,12.277666,9,15,2100000,8.537,2.234,0.0137
Ambient,Low,Fed,AT.LL.HF,G,A,39,A39,37.6508145,15,32.5,2215000,10.068255,2.7108325,0.0134
Ambient,Low,Fed,AT.LL.HF,G,B,26,B26,21.908128,12,20,1547500,10.807,2.382,0.0133
Ambient,Low,Fed,AT.LL.HF,G,B,92,B92,14.240272,8,17.5,1656666.667,6.230235833,1.2253725,0.0125
Ambient,Low,Fed,AT.LL.HF,G,C,50,C50,12.133133,9,15,779166.6667,6.339041667,1.141525,0.0093
Ambient,Low,Fed,AT.LL.HF,G,C,72,C72,17.0206305,10,20,1003750,5.4536275,1.205385,0.0123
Ambient,Low,Fed,AT.LL.HF,G,D,20,D20,15.7122265,10,22.5,1606500,4.7625825,0.604805,0.012
Ambient,Low,Fed,AT.LL.HF,G,D,X10,DX10,6.975587,5,15,923000,3.380815833,0.51038,0.0111
Ambient,Low,Fed,AT.LL.HF,G,E,32,E32,24.2472805,12,22.5,3183333.333,8.12820625,1.858275,0.0137
Ambient,Low,Fed,AT.LL.HF,G,E,43,E43,23.09482,13,32.5,3200000,8.957055833,1.3676275,0.0131
Ambient,Low,Fed,AT.LL.HF,G,F,52,F52,7.6031645,6,12.5,1690000,3.211,0.721,0.0107
Ambient,Low,Fed,AT.LL.HF,G,F,63,F63,11.3914505,7,15,518750,5.985,1.142,0.0115
Ambient,Low,Unfed,AT.LL.LF,H,A,25,A25,16.841866,10,32.5,1275000,6.134,1.42,0.0118
Ambient,Low,Unfed,AT.LL.LF,H,A,63,A63,8.8811405,9,17.5,1522500,7.454,1.505,0.0125
Ambient,Low,Unfed,AT.LL.LF,H,B,6,B6,18.4811745,10,17.5,1366666.667,5.999,1.09,0.0112
Ambient,Low,Unfed,AT.LL.LF,H,B,18,B18,34.4558745,14,32.5,1310000,6.699,1.245,0.0125
Ambient,Low,Unfed,AT.LL.LF,H,C,28,C28,19.200036,10,27.5,1447500,10.479,1.577,0.0125
Ambient,Low,Unfed,AT.LL.LF,H,C,30,C30,35.068238,16,37.5,1572500,8.653384167,1.6567575,0.0128
Ambient,Low,Unfed,AT.LL.LF,H,D,13,D13,18.7322055,11,25,1612500,6.386,0.893,0.0103
Ambient,Low,Unfed,AT.LL.LF,H,D,X5,DX5,10.094457,8,17.5,1872500,3.834,0.64,0.0118
Ambient,Low,Unfed,AT.LL.LF,H,E,64,E64,17.480854,11,30,1518333.333,7.468,1.26,0.0129
Ambient,Low,Unfed,AT.LL.LF,H,E,70,E70,8.2954015,8,17.5,644166.6667,4.18,0.577,0.009
Ambient,Low,Unfed,AT.LL.LF,H,F,64,F64,7.9759075,7,17.5,1440000,3.455180833,0.9640025,0.0106
Ambient,Low,Unfed,AT.LL.LF,H,F,69,F69,22.554723,12,25,2822000,8.911480833,1.45604,0.0124
Low,High,Fed,LT.HL.HF,I,A,35,A35,21.200677,12,15,2337500,9.662419167,2.08241,0.0142
Low,High,Fed,LT.HL.HF,I,A,58,A58,8.2117245,7,12.5,793333.3333,5.3577225,1.34339,0.0123
Low,High,Fed,LT.HL.HF,I,B,86,B86,12.1065085,9,15,1301000,5.26459,1.083935,0.0124
Low,High,Fed,LT.HL.HF,I,B,101,B101,14.0843285,8,27.5,967500,3.7434525,0.686485,0.0121
Low,High,Fed,LT.HL.HF,I,C,35,C35,23.3420475,13,30,1381250,7.637476667,1.48199,0.012
Low,High,Fed,LT.HL.HF,I,C,X14,CX14,19.466281,10,35,717500,4.331969167,0.9051225,0.0107
Low,High,Fed,LT.HL.HF,I,D,56,D56,16.514765,9,15,3897500,9.314846667,1.7088325,0.0143
Low,High,Fed,LT.HL.HF,I,D,X14,DX14,9.5201285,7,17.5,1630000,4.07,0.549,0.0115
Low,High,Fed,LT.HL.HF,I,E,16,E16,26.9173375,15,22.5,4347500,6.702,1.015,0.0125
Low,High,Fed,LT.HL.HF,I,E,34,E34,21.4707255,13,32.5,2816666.667,6.49244,1.1308975,0.0111
Low,High,Fed,LT.HL.HF,I,F,3,F3,10.9350305,7,17.5,2210000,4.785,0.914,0.0101
Low,High,Fed,LT.HL.HF,I,F,51,F51,24.0342845,11,25,2822500,7.506,1.295,0.0123
Low,High,Unfed,LT.HL.LF,J,A,44,A44,30.6447675,16,30,1951666.667,10.39797917,2.319325,0.0137
Low,High,Unfed,LT.HL.LF,J,A,53,A53,8.9724245,7,17.5,1035000,5.713538333,1.2079825,0.0121
Low,High,Unfed,LT.HL.LF,J,B,73,B73,11.2697385,6,17.5,1479000,5.56955,0.9803625,0.0118
Low,High,Unfed,LT.HL.LF,J,B,X6,BX6,9.1778135,7,17.5,815000,4.573,0.967,0.01
Low,High,Unfed,LT.HL.LF,J,C,41,C41,32.641605,13,32.5,512500,8.348,1.729,0.0139
Low,High,Unfed,LT.HL.LF,J,C,70,C70,9.561967,8,12.5,1242500,5.679,1.156,0.011
Low,High,Unfed,LT.HL.LF,J,D,9,D9,36.8520795,15,35,2413333.333,8.791,1.403,0.0144
Low,High,Unfed,LT.HL.LF,J,D,X6,DX6,32.8355835,13,30,2637500,6.080259167,1.3312575,0.0124
Low,High,Unfed,LT.HL.LF,J,E,18,E18,35.129094,18,40,1928333.333,7.857085833,1.66991,0.0139
Low,High,Unfed,LT.HL.LF,J,E,30,E30,22.235229,13,32.5,1197500,4.315,0.74,0.0115
Low,High,Unfed,LT.HL.LF,J,F,7,F7,36.8749005,13,27.5,1320000,7.889,1.25,0.0113
Low,High,Unfed,LT.HL.LF,J,F,20,F20,30.336684,15,25,2602500,7.064,1.227,0.0137
Low,Low,Fed,LT.LL.HF,K,A,2,A2,13.913171,10,25,1027000,5.241,1.183,0.0103
Low,Low,Fed,LT.LL.HF,K,A,47,A47,26.700538,14,35,1708333.333,7.696,1.833,0.0122
Low,Low,Fed,LT.LL.HF,K,B,21,B21,18.4583535,9,20,1580000,8.936,1.825,0.0117
Low,Low,Fed,LT.LL.HF,K,B,91,B91,28.663144,13,27.5,1810000,7.291,1.108,0.0135
Low,Low,Fed,LT.LL.HF,K,C,X1,CX1,17.0967005,10,25,992500,7.287,1.141,0.0107
Low,Low,Fed,LT.LL.HF,K,C,X7,CX7,9.181617,7,22.5,509000,4.589,1.249,0.0104
Low,Low,Fed,LT.LL.HF,K,D,6,D6,20.8773795,12,17.5,2822500,2.87,0.697,0.0107
Low,Low,Fed,LT.LL.HF,K,D,16,D16,34.3569835,17,37.5,3367500,7.416,0.867,0.0127
Low,Low,Fed,LT.LL.HF,K,E,48,E48,49.772569,16,27.5,1138333.333,6.953,1.139,0.0177
Low,Low,Fed,LT.LL.HF,K,E,68,E68,7.2608495,7,15,3222500,13.368,2.281,0.0104
Low,Low,Fed,LT.LL.HF,K,F,21,F21,18.4583535,11,32.5,1901666.667,7.453,1.173,0.0096
Low,Low,Fed,LT.LL.HF,K,F,28,F28,32.7595135,13,27.5,3477500,4.835,0.882,0.0126
Low,Low,Unfed,LT.LL.LF,L,A,4,A4,25.2514045,12,30,1490000,6.575,1.046,0.013
Low,Low,Unfed,LT.LL.LF,L,A,43,A43,21.482136,10,32.5,1083333.333,8.383,1.61,0.0115
Low,Low,Unfed,LT.LL.LF,L,B,4,B4,51.1152045,20,42.5,1746666.667,7.844,1.47,0.012
Low,Low,Unfed,LT.LL.LF,L,B,X3,BX3,16.9369535,10,15,1663333.333,7.741,1.581,0.0106
Low,Low,Unfed,LT.LL.LF,L,C,46,C46,22.699256,10,30,1005000,7.1525925,1.3984825,0.0086
Low,Low,Unfed,LT.LL.LF,L,C,X13,CX13,32.9116535,16,37.5,1550000,8.3337025,1.82326,0.0132
Low,Low,Unfed,LT.LL.LF,L,D,44,D44,18.827293,12,27.5,1830000,4.139883333,0.6726125,0.0114
Low,Low,Unfed,LT.LL.LF,L,D,66,D66,14.0310795,9,15,1817500,6.6672125,1.1358875,0.0133
Low,Low,Unfed,LT.LL.LF,L,E,26,E26,18.500192,10,22.5,2543333.333,6.8308075,1.493955,0.0123
Low,Low,Unfed,LT.LL.LF,L,E,41,E41,29.051101,17,25,2900000,8.935126667,1.7756525,0.0132
Low,Low,Unfed,LT.LL.LF,L,F,40,F40,27.6628235,12,37.5,1855000,4.567640833,0.9333425,0.0103
Low,Low,Unfed,LT.LL.LF,L,F,56,F56,22.0488575,10,22.5,1911666.667,6.716,1.297,0.0114
